scenario,vintage,scope,year,value,unit,source
STEPS,WEO2025,Global Oil (A.4),2028,11726.181818,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2028,11529.363636,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2028,23255.545455,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2029,11626.727273,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2029,11633.454545,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2029,23260.181818,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2030,11527.272727,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2030,11737.545455,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2030,23264.818182,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2031,11427.818182,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2031,11841.636364,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2031,23269.454545,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2032,11328.363636,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2032,11945.727273,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2032,23274.090909,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2033,11228.909091,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2033,12049.818182,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2033,23278.727273,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2034,11129.454545,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2034,12153.909091,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2034,23283.363636,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2035,11030,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2035,12258,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2035,23288,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2036,10936.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2036,12221.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2036,23157.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2037,10842.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2037,12185.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2037,23027.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2038,10748.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2038,12148.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2038,22896.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2039,10654.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2039,12112.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2039,22766.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2040,10561,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2040,12076,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2040,22636,Mt CO2,reported
STEPS,WEO2025,Global Oil (A.4),2041,10509.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2041,12033.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2041,22542.7,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2042,10458.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2042,11991.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2042,22449.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2043,10407.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2043,11949.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2043,22356.1,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2044,10356.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2044,11907.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2044,22262.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2045,10305,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2045,11865,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2045,22169.5,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2046,10253.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2046,11822.8,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2046,22076.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2047,10202.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2047,11780.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2047,21982.9,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2048,10151.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2048,11738.4,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2048,21889.6,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2049,10100.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global Gas (A.4),2049,11696.2,Mt CO2,interp_lineal
STEPS,WEO2025,Global O&G (A.4),2049,21796.3,Mt CO2,interp_lineal
STEPS,WEO2025,Global Oil (A.4),2050,10049,Mt CO2,reported
STEPS,WEO2025,Global Gas (A.4),2050,11654,Mt CO2,reported
STEPS,WEO2025,Global O&G (A.4),2050,21703,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2021,14,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2022,14.244471,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2023,14.493211,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2024,14.746294,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2025,14.749251,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2026,14.752208,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2027,14.755166,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2028,14.758124,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2029,14.761083,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2030,14.764043,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2031,14.767003,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2032,14.769964,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2033,14.772925,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2034,14.775887,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2035,14.77885,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2036,14.695173,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2037,14.61197,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2038,14.529238,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2039,14.446974,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2040,14.365177,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2041,14.304798,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2042,14.244673,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2043,14.184801,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2044,14.125181,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2045,14.065811,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2046,14.006691,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2047,13.947819,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2048,13.889195,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2049,13.830817,Mt CO2,reported
STEPS,WEO2025,BBVA O&G,2050,13.772685,Mt CO2,reported
NZE,WEO2025,Global Oil (A.4),2021,11257,Mt CO2,reported
NZE,WEO2025,Global Gas (A.4),2021,10804,Mt CO2,reported
NZE,WEO2025,Global O&G (A.4),2021,22061,Mt CO2,reported
