Sector,Escenario,Metrica,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Aviation,BBVA NZ WEO2025,g CO2/pkm,,,102.68,101.27,97.11,94.09,91.26,88.60,86.08,83.71,81.46,79.33,77.30,75.38,73.55,71.81,68.22,64.69,61.22,57.82,54.47,50.85,47.32,43.89,40.55,37.30,33.30,29.43,25.66,22.01,18.46
Aviation,BBVA NZ WEO2021,g CO2/pkm,,,102.68,98.88,95.08,91.27,86.87,82.47,78.05,73.65,69.25,67.26,65.28,63.28,61.30,59.31,56.24,53.17,50.12,47.05,43.98,37.78,31.59,25.39,19.20,12.99,10.40,7.80,5.19,2.60,0.00
Autos,BBVA CPS WEO2025,g CO2/km,199.97,196.164,192.433,188.773,184.245,177.939,171.985,166.354,161.020,155.961,151.155,146.585,142.232,138.083,134.123,130.339,126.674,123.192,119.879,116.723,113.714,111.750,109.865,108.055,106.315,104.641,103.618,102.628,101.669,100.740,99.840
Autos,BBVA STEPS WEO2025,g CO2/km,199.97,196.16,192.43,188.77,184.24,177.65,171.38,165.41,159.73,154.30,149.12,144.17,139.43,134.88,130.53,126.35,121.53,116.92,112.53,108.33,104.31,100.80,97.45,94.26,91.20,88.28,85.68,83.20,80.83,78.56,76.39
Autos,BBVA NZ WEO2025,g CO2/km,199.97,196.16,192.43,188.77,184.24,171.69,159.71,148.26,137.32,126.83,116.79,107.16,97.91,89.02,80.48,72.26,63.46,55.02,46.91,39.12,31.63,27.47,23.42,19.49,15.67,11.94,10.29,8.69,7.14,5.63,4.17
Autos,BBVA NZ WEO2021,g CO2/km,199.97,187.84,176.44,165.73,155.67,146.22,137.35,129.00,121.17,113.81,106.89,93.99,82.63,72.66,63.87,56.15,49.35,43.38,38.13,33.50,29.44,23.80,19.23,15.53,12.53,10.11,8.14,6.55,5.27,4.22,3.37
Power,BBVA CPS WEO2025,kg CO2e/MWh,227.87,224.996,222.155,219.351,213.668,206.875,200.297,193.928,187.762,181.792,176.012,170.415,164.997,159.751,154.671,149.753,144.992,140.382,135.918,131.597,127.412,123.361,119.439,115.641,111.964,108.404,104.957,101.620,98.389,95.261,92.232
Power,BBVA STEPS WEO2025,kg CO2e/MWh,227.87,224.996,222.155,219.351,213.668,203.312,193.457,184.080,175.158,166.668,158.590,150.903,143.588,136.629,130.006,123.705,117.709,112.003,106.575,101.409,96.494,91.816,87.366,83.131,79.102,75.268,71.620,68.148,64.845,61.702,58.711
Power,BBVA NZ WEO2025,kg CO2e/MWh,227.87,224.996,222.155,219.351,213.668,181.142,153.567,130.190,110.372,93.570,79.326,67.250,57.013,48.334,40.976,34.739,29.450,24.967,21.167,17.944,15.213,12.897,10.934,9.269,7.858,6.662,5.648,4.788,4.059,3.441,-1.856
Power,BBVA NZ WEO2021,kg CO2e/MWh,227.87,212.12,196.37,180.62,164.87,149.12,133.37,117.62,101.87,86.12,70.37,63.08,55.78,48.48,41.18,33.89,26.59,19.29,11.99,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
